method,impl,n,seconds
FairBalance,scikit-fair,50000,0.0166574370014132
FairBalance,reference,50000,0.5511183150010766
FairBalance,scikit-fair,100000,0.02497877700079698
FairBalance,reference,100000,1.1141345740034012
FairBalance,scikit-fair,500000,0.08849485500104493
FairBalance,reference,500000,5.502246158001071
FairBalance,scikit-fair,1000000,0.1663327019996359
FairBalance,reference,1000000,10.94333732600353
FairBalance,scikit-fair,1500000,0.3138216730003478
FairBalance,reference,1500000,16.40994409400446
Fair-SMOTE,scikit-fair,50000,31.95063270499668
Fair-SMOTE,reference,50000,33.78235027100163
Fair-SMOTE,scikit-fair,100000,64.23024229899602
Fair-SMOTE,reference,100000,68.49400538899499
Fair-SMOTE,scikit-fair,500000,362.3992523839988
Fair-SMOTE,reference,500000,373.6153594529969
Fair-SMOTE,scikit-fair,1000000,782.0104393869988
Fair-SMOTE,reference,1000000,790.2160590029962
Fair-SMOTE,scikit-fair,1500000,1226.349561656003
Fair-SMOTE,reference,1500000,1239.3946951509934
DisparateImpactRemover,scikit-fair,50000,0.21028364999801852
DisparateImpactRemover,reference,50000,1.9774251420021756
DisparateImpactRemover,scikit-fair,100000,0.41202046400576364
DisparateImpactRemover,reference,100000,4.092174085992156
DisparateImpactRemover,scikit-fair,500000,2.2209721529943636
DisparateImpactRemover,reference,500000,21.692678790990612
DisparateImpactRemover,scikit-fair,1000000,4.897575324997888
DisparateImpactRemover,reference,1000000,45.09432833599567
DisparateImpactRemover,scikit-fair,1500000,7.500736303991289
DisparateImpactRemover,reference,1500000,67.79583702600212
