method,impl,n,seconds
Reweighing,scikit-fair,50000,0.0239961269980995
Reweighing,scikit-fair,100000,0.028292630988289602
Reweighing,reference,50000,0.05637057599960826
Reweighing,reference,100000,0.12867950899817515
FairBalance,scikit-fair,50000,0.01834307199169416
FairBalance,scikit-fair,100000,0.02633467799751088
FairBalance,reference,50000,0.5573690629971679
FairBalance,reference,100000,1.093162143995869
Massaging,scikit-fair,50000,0.17349476600065827
Massaging,scikit-fair,100000,0.40258044000074733
DisparateImpactRemover,scikit-fair,50000,0.22756098399986513
DisparateImpactRemover,scikit-fair,100000,0.4139042930037249
DisparateImpactRemover,reference,50000,1.821691245000693
DisparateImpactRemover,reference,100000,3.908840666001197
FairwayRemover,scikit-fair,50000,0.13268581900047138
FairwayRemover,scikit-fair,100000,0.2683888760075206
FairwayRemover,reference,50000,76.635913170001
FairwayRemover,reference,100000,199.6417849790014
FairMask,scikit-fair,50000,27.35481031499512
FairMask,scikit-fair,100000,78.36575643000833
FairOversampling,scikit-fair,50000,1.1555315229925327
FairOversampling,scikit-fair,100000,3.302044582000235
FairOversampling,reference,50000,2.5648245599877555
FairOversampling,reference,100000,7.145886315993266
HeterogeneousFOS,scikit-fair,50000,51.79279409098672
HeterogeneousFOS,scikit-fair,100000,111.22530658000323
FAWOS,scikit-fair,50000,13.231510843994329
FAWOS,scikit-fair,100000,31.422401761999936
FairSmote,scikit-fair,50000,31.68029881401162
FairSmote,scikit-fair,100000,64.497227372005
FairSmote,reference,50000,31.646591102995444
FairSmote,reference,100000,63.44725556799676
LearningFairRepresentations,scikit-fair,50000,114.75983058199927
LearningFairRepresentations,scikit-fair,100000,317.18823078399873
LearningFairRepresentations,reference,50000,108.38271352800075
LearningFairRepresentations,reference,100000,394.37956299800135
