t,k,classifier,women_rejection_rate_target,women_rejection_rate_actual,dataset,method,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,geometric_mean,geometric_mean_std,precision,precision_std,recall,recall_std,f1_score,f1_score_std,true_positive_rate,true_positive_rate_std,false_positive_rate,false_positive_rate_std,true_negative_rate,true_negative_rate_std,false_negative_rate,false_negative_rate_std,spd,spd_std,disparate_impact,disparate_impact_std,eod,eod_std,equal_opportunity_ratio,equal_opportunity_ratio_std,false_positive_rate_difference,false_positive_rate_difference_std,predictive_equality,predictive_equality_std,true_negative_rate_difference,true_negative_rate_difference_std,true_negative_rate_parity,true_negative_rate_parity_std,false_negative_rate_difference,false_negative_rate_difference_std,false_negative_rate_parity,false_negative_rate_parity_std,accuracy_difference,accuracy_difference_std,accuracy_parity,accuracy_parity_std,aod,aod_std,average_odds_ratio,average_odds_ratio_std
,0,LogReg,0.35161290322580646,0.35161290322580646,german_baseline,Baseline,0.752,0.03155946767611903,0.6657142857142857,0.043749959507593854,0.6269081821986716,0.05823137467997037,0.7897488871764653,0.026515190272803853,0.8814285714285715,0.030169588688489832,0.8326660898673148,0.021055444662602552,0.8814285714285715,0.030169588688489832,0.55,0.08498365855987974,0.45000000000000007,0.08498365855987977,0.11857142857142858,0.03016958868848982,-0.11876778040562655,0.03609266054277857,0.8541580645817513,0.04590351928577873,-0.057025868440502614,0.07889453147406789,0.9363935965925105,0.0874924740183218,-0.17129011339537653,0.09417068747371468,0.7186493506493508,0.14288695320611167,0.1712901133953766,0.09417068747371471,1.4939619111047684,0.38574136967538064,0.05702586844050259,0.07889453147406791,1.5995081476788795,0.8963424553156086,-0.015193061654033979,0.07577611159191874,0.9808356986080848,0.1015086196254621,-0.11415799091793959,0.030636369191799413,0.8275214736209306,0.05463009025420762
,0,XGBoost,0.35161290322580646,0.35161290322580646,german_baseline,Baseline,0.756,0.02034698994937582,0.6866666666666668,0.013581867330430106,0.6641958406232087,0.010285429535700275,0.8047152441253896,0.004950866525481336,0.86,0.031493439550069405,0.831225433794262,0.01641897365863695,0.86,0.031493439550069405,0.4866666666666667,0.012472191289246468,0.5133333333333333,0.012472191289246475,0.13999999999999999,0.03149343955006943,-0.10703855929240065,0.0231330336052063,0.8625778901102826,0.030807090002128366,-0.09651786154225181,0.07556171547477479,0.8905303629050817,0.08463841294900491,-0.04395954922270713,0.08907293298588498,0.9248983339892431,0.15650406807370487,0.04395954922270713,0.08907293298588498,1.1050123685837971,0.20873891628269756,0.09651786154225181,0.07556171547477483,1.8159266208046696,0.7139254129367191,-0.07649402177278124,0.07459056960768772,0.902321443307922,0.09540334225670265,-0.07023870538247948,0.015930965672199638,0.9077143484471624,0.04106993370405539
,0,KNN,0.35161290322580646,0.35161290322580646,german_baseline,Baseline,0.728,0.021587033144922923,0.6228571428571428,0.03197398318800819,0.5624801956968073,0.049730999447269324,0.7639052046779786,0.017699630947647513,0.8857142857142858,0.015649215928719016,0.8201680454173292,0.013137109167307849,0.8857142857142858,0.015649215928719016,0.64,0.06200358412579423,0.36,0.06200358412579426,0.11428571428571428,0.015649215928719026,-0.11556438952475374,0.04321141777766541,0.8646154732023881,0.048592347728382564,-0.048964523281596485,0.07093522029182099,0.9467594858823443,0.07715968425191888,-0.1989957411010043,0.11899174562189123,0.724968734968735,0.14555696091070652,0.19899574110100424,0.11899174562189123,1.7891803002192614,0.6346195267400367,0.04896452328159645,0.07093522029182102,1.6289564094442142,0.9270116400737332,-0.007908933346022407,0.0752289704160932,0.9904806779631088,0.10467067476830154,-0.12398013219130037,0.05115993042731888,0.8358641104255395,0.06307629368999292
,0,MLP,0.35161290322580646,0.35161290322580646,german_baseline,Baseline,0.73,0.03768288736283354,0.6623809523809524,0.03706646601032169,0.6384848901383195,0.041448732743118284,0.7931390366322476,0.02228925097082957,0.8314285714285715,0.052799196035932354,0.8110436978996383,0.030543681190330994,0.8314285714285715,0.052799196035932354,0.5066666666666667,0.06548960901462833,0.49333333333333335,0.06548960901462833,0.16857142857142854,0.05279919603593236,-0.08258437705708584,0.09484182634723691,0.8955908574645657,0.12772738045291981,-0.02910815471791082,0.10557017251748682,0.9668313265411136,0.12596167952242543,-0.11952258268047744,0.14958264057927448,0.8159189295552931,0.2502972322997977,0.11952258268047744,0.14958264057927448,1.3231219760631525,0.3878947975661987,0.02910815471791082,0.10557017251748681,1.2814338507021434,0.8213757890006432,-0.006589547345974634,0.0716946447403497,0.99197861266915,0.09388201075327086,-0.07431536869919413,0.10604598676872394,0.8913751280482032,0.16385494386353894
,0,SVC,0.35161290322580646,0.35161290322580646,german_baseline,Baseline,0.742,0.012489995996796807,0.6166666666666667,0.018595832561682485,0.5297260599241609,0.03463849371361503,0.7571341234278567,0.00997559697516501,0.9299999999999999,0.015907898179514362,0.834601047697715,0.008068255904479574,0.9299999999999999,0.015907898179514362,0.6966666666666665,0.0413655788199695,0.30333333333333334,0.041365578819969516,0.06999999999999999,0.015907898179514348,-0.06827344802935464,0.023760805878286672,0.9228632376848955,0.025352072756332347,-0.0273909830007391,0.055433448375861435,0.9711235926535954,0.05831518402305035,-0.09973009446693659,0.07972929456439395,0.8709203985669502,0.09143365731397923,0.09973009446693658,0.07972929456439401,1.4949106449106448,0.5565192656357159,0.027390983000739094,0.05543344837586142,1.5987369337979094,1.2217513011951742,-0.032949588405922145,0.0555838547639966,0.9574478694204019,0.07460341079752736,-0.06356053873383785,0.027131199705092694,0.9210219956102728,0.0307441972973232
0.0,92,LogReg,0.5,0.5,german_t0.0_k92,Baseline,0.7627665368019773,0.02780576365377852,0.7307646094925186,0.026994295231201053,0.7218866879613001,0.026814154581104966,0.7973068014523561,0.015282314166014452,0.8442620979204479,0.030553554025996837,0.8200474011388049,0.022301726877713306,0.8442620979204479,0.030553554025996837,0.3827328789354105,0.02393614772345166,0.6172671210645895,0.02393614772345165,0.15573790207955215,0.030553554025996823,-0.3495259548206141,0.03549935284247453,0.5676869819796644,0.03537289411851656,-0.16527395910322742,0.04396483558139644,0.8141295799413204,0.05057444253240964,-0.3971014778973701,0.11994546212050577,0.33610084835630966,0.14640685174641835,0.39710147789737005,0.11994546212050573,2.0262307171148635,0.42875922620313084,0.16527395910322742,0.04396483558139648,2.572842401500938,0.4330877556353584,0.00934174519406301,0.06454043511444073,1.013786020424446,0.0844708540835338,-0.2811877185002988,0.048430723057079045,0.5751152141488151,0.05688569116419504
0.0,92,XGBoost,0.5,0.5,german_t0.0_k92,Baseline,0.7774831385362992,0.011588561344021942,0.7438336254931264,0.015701392832170827,0.7336111929349479,0.019154152622688582,0.8047450395030561,0.014734895586287081,0.8627727362183201,0.020944330890552067,0.8324698526728291,0.00911065054338145,0.8627727362183201,0.020944330890552067,0.37510548523206755,0.04155529731651313,0.6248945147679325,0.041555297316513175,0.13722726378167982,0.020944330890552084,-0.27325491466906165,0.07504141085658292,0.656341551367657,0.0828996516842886,-0.0864572554816457,0.08991996203557838,0.9061309198470736,0.09679898238011753,-0.29894983706922085,0.101978813096358,0.44628048780487806,0.16011763224907297,0.29894983706922085,0.101978813096358,1.6700793606799702,0.2821886161184101,0.08645725548164573,0.0899199620355784,2.2648218287471336,1.5241884968645105,0.013580930664333435,0.0546720867796127,1.0192744839081487,0.0716745656627731,-0.1927035462754333,0.08575187610028763,0.6762057038259759,0.10789497005182556
0.0,92,KNN,0.5,0.5,german_t0.0_k92,Baseline,0.7353315738762515,0.016237063516713512,0.6868792660842662,0.017474963641532608,0.6649353940054922,0.019031762986144292,0.759804561730874,0.009664588951866646,0.858568658750811,0.017737812551361823,0.8061283377272025,0.012208682195993956,0.858568658750811,0.017737812551361823,0.4848101265822785,0.02358076038407115,0.5151898734177215,0.023580760384071146,0.1414313412491891,0.01773781255136184,-0.2684925644589586,0.06663732071340354,0.6758613071762921,0.07145585968376816,-0.0668837152007884,0.046218499312125225,0.9238758687269748,0.052516191348422794,-0.3810026003094039,0.16658389215519112,0.4589146814225492,0.18896206795805742,0.3810026003094039,0.16658389215519115,2.3981213704994193,0.9344551614539082,0.06688371520078837,0.046218499312125245,1.557062003037613,0.3871606752985272,0.0329800957005826,0.07768120083016769,1.0478301883011258,0.10879920753982932,-0.22394315775509616,0.08027065132680439,0.691395275074762,0.09033930889570319
0.0,92,MLP,0.5,0.5,german_t0.0_k92,Baseline,0.7591554606007289,0.018262522533156425,0.7295561268419998,0.021575280813589386,0.7216134937817131,0.023903990223799985,0.7991781946007299,0.015270261408351835,0.8342826529050316,0.01938745042162034,0.8162125969343327,0.01368229972982384,0.8342826529050316,0.01938745042162034,0.3751703992210321,0.03821284240786051,0.6248296007789679,0.03821284240786051,0.16571734709496838,0.019387450421620343,-0.2680899554836895,0.06928640777281732,0.6535600457461059,0.07750947095283466,-0.10237570830253757,0.058474795889217605,0.8833590872336788,0.06318308317184958,-0.27843652282676673,0.1510170295490151,0.48555234686663634,0.24534441532117177,0.2784365228267668,0.15101702954901508,1.6176668133994174,0.375869087920561,0.10237570830253757,0.05847479588921758,1.8929088952654234,0.6768813860529015,0.0031971410776452823,0.07804338225752547,1.0062656509380998,0.1021678140387544,-0.19040611556465215,0.07693839136636113,0.6844557170501577,0.11881144731622292
0.0,92,SVC,0.5,0.5,german_t0.0_k92,Baseline,0.7664781534079008,0.03233967038534838,0.7150857337765187,0.038162265330805904,0.6904300287912917,0.0461653467051875,0.7747961739624343,0.02437445837951385,0.8971302471700451,0.02663063095697183,0.8313059489686212,0.022335857123065937,0.8971302471700451,0.02663063095697183,0.4669587796170074,0.062300234969653735,0.5330412203829926,0.06230023496965374,0.10286975282995488,0.026630630956971834,-0.313234491358921,0.05725572491985124,0.6362006972411869,0.05613047858844712,-0.10682237004188225,0.031614791153190006,0.884659535162226,0.0343909210823833,-0.40613129916724267,0.15649854596033616,0.4130355761143818,0.17576202779054864,0.40613129916724267,0.15649854596033616,2.4214015009380865,0.737757730187755,0.10682237004188222,0.03161479115319,2.64382868757259,0.5820634577463109,0.015464209541425734,0.07524403897303382,1.0215174303256898,0.09883194722801415,-0.25647683460456244,0.06746162674449475,0.6488475556383039,0.07597809653404763
